lon,lat,depth
-128.741935484,50.0,-4579.86035156
-128.709677419,50.0,-4835.10498047
-128.677419355,50.0,-5090.99755859
-128.64516129,50.0,-5347.66259766
-128.612903226,50.0,-5605.19775391
-128.580645161,50.0,-5863.671875
-128.548387097,50.0,-6123.13525391
-128.516129032,50.0,-6383.64306641
-128.483870968,50.0,-6645.29980469
-128.451612903,50.0,-6908.31298828
-128.419354839,50.0,-7173.06933594
-128.741935484,49.9775132275,-4446.88623047
-128.709677419,49.9775132275,-4691.03564453
-128.677419355,49.9775132275,-4936.02587891
-128.64516129,49.9775132275,-5182.01904297
-128.612903226,49.9775132275,-5429.14697266
-128.580645161,49.9775132275,-5677.49658203
-128.548387097,49.9775132275,-5927.11279297
-128.516129032,49.9775132275,-6178.01220703
-128.483870968,49.9775132275,-6430.21240234
-128.451612903,49.9775132275,-6683.78466797
-128.419354839,49.9775132275,-6938.92236328
-128.387096774,49.9775132275,-7196.03222656
-128.741935484,49.955026455,-4313.78027344
-128.709677419,49.955026455,-4546.79833984
-128.677419355,49.955026455,-4780.85058594
-128.64516129,49.955026455,-5016.14355469
-128.612903226,49.955026455,-5252.84765625
-128.580645161,49.955026455,-5491.07714844
-128.548387097,49.955026455,-5730.88378906
-128.516129032,49.955026455,-5972.25390625
-128.483870968,49.955026455,-6215.12939453
-128.451612903,49.955026455,-6459.44580078
-128.419354839,49.955026455,-6705.19433594
-128.387096774,49.955026455,-6952.52197266
-128.741935484,49.9325396825,-4180.50488281
-128.709677419,49.9325396825,-4402.31933594
-128.677419355,49.9325396825,-4625.36279297
-128.64516129,49.9325396825,-4849.89453125
-128.612903226,49.9325396825,-5076.13720703
-128.580645161,49.9325396825,-5304.25146484
-128.548387097,49.9325396825,-5534.31640625
-128.516129032,49.9325396825,-5766.31445312
-128.483870968,49.9325396825,-6000.13378906
-128.451612903,49.9325396825,-6235.58740234
-128.419354839,49.9325396825,-6472.45849609
-128.387096774,49.9325396825,-6710.59277344
-128.35483871,49.9325396825,-6950.04785156
-128.741935484,49.9100529101,-4047.1184082
-128.709677419,49.9100529101,-4257.62304688
-128.677419355,49.9100529101,-4469.54833984
-128.64516129,49.9100529101,-4683.21875
-128.612903226,49.9100529101,-4898.93017578
-128.580645161,49.9100529101,-5116.91650391
-128.548387097,49.9100529101,-5337.31933594
-128.516129032,49.9100529101,-5560.16064453
-128.483870968,49.9100529101,-5785.31933594
-128.451612903,49.9100529101,-6012.52050781
-128.419354839,49.9100529101,-6241.35253906
-128.387096774,49.9100529101,-6471.32958984
-128.35483871,49.9100529101,-6702.02929688
-128.322580645,49.9100529101,-6933.34472656
-128.741935484,49.8875661376,-3913.78271484
-128.709677419,49.8875661376,-4112.83642578
-128.677419355,49.8875661376,-4313.49072266
-128.64516129,49.8875661376,-4516.15136719
-128.612903226,49.8875661376,-4721.21044922
-128.580645161,49.8875661376,-4929.00976562
-128.548387097,49.8875661376,-5139.80664062
-128.516129032,49.8875661376,-5353.72167969
-128.483870968,49.8875661376,-5570.69824219
-128.451612903,49.8875661376,-5790.44775391
-128.419354839,49.8875661376,-6012.41992188
-128.387096774,49.8875661376,-6235.80371094
-128.35483871,49.8875661376,-6459.61279297
-128.322580645,49.8875661376,-6682.92529297
-128.290322581,49.8875661376,-6905.34716797
-128.258064516,49.8875661376,-7127.76367188
-127.64516129,49.8875661376,-13959.9863281
-127.612903226,49.8875661376,-14318.6679688
-128.741935484,49.8650793651,-3780.76782227
-128.709677419,49.8650793651,-3968.19677734
-128.677419355,49.8650793651,-4157.38232422
-128.64516129,49.8650793651,-4348.82519531
-128.612903226,49.8650793651,-4543.03759766
-128.580645161,49.8650793651,-4740.51220703
-128.548387097,49.8650793651,-4941.67724609
-128.516129032,49.8650793651,-5146.83935547
-128.483870968,49.8650793651,-5356.109375
-128.451612903,49.8650793651,-5569.31347656
-128.419354839,49.8650793651,-5785.88525391
-128.387096774,49.8650793651,-6004.77539062
-128.35483871,49.8650793651,-6224.42626953
-128.322580645,49.8650793651,-6442.91015625
-128.290322581,49.8650793651,-6658.38330078
-128.258064516,49.8650793651,-6870.02783203
-128.225806452,49.8650793651,-7079.56835938
-128.193548387,49.8650793651,-7293.19335938
-128.161290323,49.8650793651,-7523.13720703
-127.806451613,49.8650793651,-11517.7587891
