CFM ID,Fault Name,Region,Primary State/Province,Secondary State/Country,Dip (degrees),Dip Direction,Rake* (degrees),Slip sense,Fault level,NSHM sliprates (MedWgtd),QfaultsAgeCat,QfaultsAgeCat,LowDepth (km),UpDepth (km),Reference**,3D Model Constraints,NSHM ID #,Lineage***,Comments
1,Abert Rim,Backarc_OR,OR,,50,NW,-90,Normal,1,0.528378,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2503,unmodified,
2,Almanor,ForearcIntraarc_CA,CA,,90,E,-135,Normal and Dextral,1,2.1876,undifferentiated Quaternary,<1.6 million,10,0,US NSHM 2023,trace extended at constant dip,2,unmodified,
3,Alvin Canyon,AccretionaryWedge_OR,OR,,90,vertical,0,Sinistral,1,5.487217,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2504,unmodified,
4,Arlington-Shutler Butte,Backarc_WA,OR,WA,90,vertical,180,Dextral,1,0.1012,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2555,unmodified,
5,Battle Creek,ForearcIntraarc_CA,CA,,74,S,90,Reverse,1,0.213896,late Quaternary,"<130,000",19.7,0,US NSHM 2023,trace extended at constant dip,9,unmodified,
6,Battle Rock,ForearcIntraarc_OR,OR,,50,NE,-90,Normal,1,0.110572,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2505,unmodified,
7,Bear Creek,ForearcIntraarc_CA,CA,,60,N,90,Reverse,1,0.46489,null,null,15,0,US NSHM 2023,trace extended at constant dip,311,unmodified,
8,Bear River,AccretionaryWedge_CA_MendocinoTripleJunction,CA,,60,N,90,Reverse,1,0.117869,undifferentiated Quaternary,<1.6 million,10,0,US NSHM 2023,trace extended at constant dip,10,unmodified,
9,Beaver Creek,ForearcIntraarc_OR,OR,,50,S,-90,Normal,1,0.30242,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2506,unmodified,
10,Beaverton,ForearcIntraarc_OR,OR,,60,S,90,Reverse,1,0.099691,middle and late Quaternary,"<750,000",15,0,US NSHM 2023,trace extended at constant dip,2556,unmodified,
11,Big Lagoon,AccretionaryWedge_CA_MendocinoTripleJunction,CA,,35,NE,90,Reverse,1,0.834585,late Quaternary,"<130,000",13,0,US NSHM 2023,trace extended at constant dip,13,unmodified,
12,"Big Valley (unnamed, proxy)",Backarc_CA,CA,,90,vertical,180,Dextral,1,0.451028,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,348,unmodified,
13,Birch Bay,ForearcIntraarc_WA,WA,,60,NE,90,Reverse,1,0.110508,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2827,unmodified,
14,Blue Ridge - Gate Creek,ForearcIntraarc_OR,OR,,50,W,-90,Normal,1,0.112727,null,null,15,0,US NSHM 2023,trace extended at constant dip,2557,unmodified,
15,Bolton,ForearcIntraarc_OR,OR,,60,E,90,Reverse,1,0.223626,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2507,unmodified,
16,Boulder Creek (Kendall),ForearcIntraarc_WA,WA,,60,S,90,Reverse,1,0.252255,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2800,unmodified,
17,Canby,ForearcIntraarc_OR,OR,,80,E,180,Dextral,1,0.305186,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2558,unmodified,
18,Canyon River,ForearcIntraarc_WA,WA,,60,S,90,Reverse,1,0.289895,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2828,unmodified,
19,Canyon River - Price Lake (northeast),ForearcIntraarc_WA,WA,,60,SE,90,Reverse,1,0.144733,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2829,unmodified,
20,Canyon River - Price Lake (southwest),ForearcIntraarc_WA,WA,,60,SE,90,Reverse,1,0.420722,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2830,unmodified,
21,Cape Blanco Anticline,AccretionaryWedge_OR,OR,,45,S,90,Reverse,1,0.854632,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2508,unmodified,
22,Cedar Mountain - Mahogany Mountain,ForearcIntraarc_CA,CA,OR,60,W,-90,Normal,1,0.617297,latest Quaternary,"<15,000",9.5,0,US NSHM 2023,trace extended at constant dip,31,unmodified,
23,Chemult Graben (east),ForearcIntraarc_OR,OR,,50,W,-90,Normal,1,0.090636,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2509,unmodified,
24,Chemult Graben (west),ForearcIntraarc_OR,OR,,50,SE,-90,Normal,1,0.128569,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2510,unmodified,
25,Chico Monocline,ForearcIntraarc_CA,CA,,60,NE,90,Reverse,1,0.134452,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,313,unmodified,
26,Coquille Anticline,AccretionaryWedge_OR,OR,,60,E,90,Reverse,1,0.3397,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2511,unmodified,
27,Corning,ForearcIntraarc_CA,CA,,75,W,90,Reverse,1,0.116472,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,315,unmodified,
28,Cottonwood Mountain (east),Backarc_OR,OR,,50,NE,-90,Normal,1,0.135659,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2512,unmodified,
29,Daisy Bank,AccretionaryWedge_OR,OR,,90,vertical,0,Sinistral,1,4.942873,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2513,unmodified,
30,Davis Creek,Backarc_CA,CA,,50,W,-90,Normal,1,0.479672,late Quaternary,"<130,000",8.5,0,US NSHM 2023,trace extended at constant dip,61,unmodified,
31,Devils Mountain,ForearcIntraarc_WA,WA,,60,N,90,Reverse,1,0.160328,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2801,unmodified,
32,Drayton Harbor,ForearcIntraarc_WA,WA,,45,NE,90,Reverse,1,0.13154,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2831,unmodified,
33,East Grand Ronde Valley,Backarc_OR,OR,,50,W,-90,Normal,1,0.3416,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2560,unmodified,
34,East Pueblo Valley,Backarc_OR,OR,,50,W,-90,Normal,1,0.10239,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2562,unmodified,
35,Eaton Roughs,AccretionaryWedge_CA_MendocinoTripleJunction,CA,,90,vertical,180,Dextral,1,2.19786,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,74,unmodified,
36,Entiat,Backarc_WA,WA,,60,SW,90,Reverse,1,0.085164,null,null,15,0,US NSHM 2023,trace extended at constant dip,2832,unmodified,
37,Fickle Hill,AccretionaryWedge_CA_MendocinoTripleJunction,CA,,35,NE,90,Reverse,1,0.618176,latest Quaternary,"<15,000",13,0,US NSHM 2023,trace extended at constant dip,80,unmodified,
38,Fitzhugh Creek,Backarc_CA,CA,,50,W,-90,Normal,1,0.04452,undifferentiated Quaternary,<1.6 million,8.5,0,US NSHM 2023,trace extended at constant dip,82,unmodified,
39,Frigid Creek,ForearcIntraarc_WA,WA,,50,SE,-90,Normal,1,0.114892,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2833,unmodified,
40,Gales Creek (Chehalem Valley),ForearcIntraarc_OR,OR,,90,vertical,180,Dextral,1,0.41016,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2563,unmodified,
41,Gales Creek (Parsons Creek),ForearcIntraarc_OR,OR,,90,vertical,180,Dextral,1,0.059108,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2514,unmodified,
42,Garberville - Briceland,AccretionaryWedge_CA_MendocinoTripleJunction,CA,,90,vertical,180,Dextral,1,2.43832,undifferentiated Quaternary,<1.6 million,24.8,0,US NSHM 2023,trace extended at constant dip,85,unmodified,
43,Gillem - Big Crack,ForearcIntraarc_CA,CA,,60,E,-90,Normal,1,0.344989,late Quaternary,"<130,000",9.7,0,US NSHM 2023,trace extended at constant dip,87,unmodified,
44,Goose Lake,Backarc_OR,OR,CA,58,W,-90,Normal,1,0.580608,late Quaternary,"<130,000",8.5,0,US NSHM 2023,trace extended at constant dip,2500,unmodified,
45,Grogan,AccretionaryWedge_CA_MendocinoTripleJunction,CA,,90,vertical,180,Dextral,1,0.70192,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,319,unmodified,
46,Happy Camp,ForearcIntraarc_OR,OR,,60,N,90,Reverse,1,0.077147,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2516,unmodified,
47,Harney,Backarc_OR,OR,,50,W,-90,Normal,1,0.113465,middle and late Quaternary,"<750,000",15,0,US NSHM 2023,trace extended at constant dip,2564,unmodified,
48,Hat Creek,ForearcIntraarc_CA,CA,,60,W,-90,Normal,1,1.923439,latest Quaternary,"<15,000",9.6,0,US NSHM 2023,trace extended at constant dip,112,unmodified,
49,Honey Lake,Backarc_CA,CA,NV,90,vertical,180,Dextral,1,1.52865,latest Quaternary,"<15,000",9.7,0,US NSHM 2023,trace extended at constant dip,120,unmodified,
50,Hoppins Peak,Backarc_OR,NV,OR,50,SE,-90,Normal,1,0.142078,middle and late Quaternary,"<750,000",15,0,US NSHM 2023,trace extended at constant dip,1060,unmodified,
51,Horse Heaven Hills,Backarc_WA,WA,,60,S,90,Reverse,1,0.075968,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2803,unmodified,
52,Horse Heaven Hills - Wallula,Backarc_WA,WA,,60,SW,90,Reverse,1,0.053088,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2834,unmodified,
53,Inks Creek - Hooker Dome,ForearcIntraarc_CA,CA,,60,N,90,Reverse,1,0.278547,null,null,15,0,US NSHM 2023,trace extended at constant dip,321,unmodified,
